factor1 factor2 RTN
8.617 13.332 25.9
3.534 14.289 20.1
9.642 8.948 18.6
4.380 7.035 15.2
8.508 6.225 10.2
9.792 10.107 8.2
10.184 10.768 7.1
8.678 11.498 6.8
2.852 6.253 6.5
4.254 7.541 5.3
3.822 9.977 2.1
9.390 3.070 1.3
8.151 3.271 0.8
6.272 6.077 0.6
4.868 7.574 0.5
12.298 6.943 0.4
13.012 6.573 0.3
12.433 3.411 0.2
7.628 8.683 -0.1
10.189 11.183 -0.4
8.162 11.495 -1.3
8.582 2.877 -2.5
14.271 5.281 -3.2
5.480 6.419 -7.2
12.973 3.599 -8.1
11.931 7.231 -11.2
13.094 3.336 -12.5
7.928 1.803 -14.6
8.227 9.415 -18.3
10.130 5.319 -20.2
